Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
-1,3,3,3,2,3,6,3,4,4,2,2
Vote
3,1,2,1,2,3,3,3,3,4,1,2
4,1,2,1,2,1,2,2,3,2,2,1
5,3,2,2,1,1,4,2,3,2,1,2
6,2,1,3,1,1,4,2,3,2,2,2
7,2,2,3,2,1,3,1,3,2,2,1
8,1,2,2,1,1,6,2,3,2,2,1
9,2,2,2,2,2,3,1,3,2,2,1
10,2,2,2,1,1,3,1,3,3,2,2
11,3,2,1,2,2,6,1,3,2,1,2
12,2,2,2,1,1,4,1,3,3,1,2
13,1,2,2,1,1,3,2,3,1,2,1
14,3,2,2,1,2,5,2,3,4,2,1
15,1,1,2,1,2,2,2,3,1,2,1
16,1,1,2,1,1,5,2,4,4,2,1
17,2,3,2,1,1,2,2,1,1,1,2
18,2,3,2,1,3,2,2,4,2,2,2
19,2,1,2,2,1,4,3,2,4,2,1
20,1,2,2,1,2,1,3,3,2,2,1
21,1,2,1,2,2,5,2,1,3,2,1
22,1,3,1,1,1,3,2,1,3,2,1
23,1,1,2,2,1,4,1,4,1,1,2
24,3,2,2,2,1,1,2,4,4,2,1
25,1,3,3,1,2,5,3,3,2,2,1
26,2,2,1,1,3,2,2,2,4,1,2
27,1,1,2,1,1,2,1,3,2,2,1
28,1,2,2,2,3,5,1,1,4,2,1
29,2,1,2,1,1,2,2,1,2,2,2
30,1,3,3,2,1,6,1,4,3,2,1
31,2,2,2,2,2,4,1,3,2,1,2
32,3,1,2,1,2,3,2,2,2,2,1
33,2,2,2,2,1,5,2,1,4,2,1
34,2,3,2,1,1,3,3,3,1,2,2
35,2,2,2,2,3,1,2,3,3,1,2
36,1,1,2,1,1,1,3,2,4,2,1
37,1,3,2,2,3,6,2,3,3,2,1
38,1,2,2,2,2,1,2,3,1,1,2
39,1,2,3,2,2,6,2,3,2,2,1
40,3,1,2,1,3,1,1,3,1,2,1
41,2,3,2,2,1,1,2,2,1,2,1
42,1,2,2,1,2,5,2,3,3,2,1
43,1,1,1,2,1,1,2,4,2,2,1
44,1,1,2,2,2,3,1,3,3,2,1
45,2,2,2,1,2,2,2,4,3,1,2
46,1,3,3,2,3,1,1,3,2,2,1
47,3,2,2,1,1,3,1,2,4,2,1
48,2,1,2,1,1,4,2,3,1,1,2
49,2,2,2,2,1,1,3,4,3,2,1
50,1,2,2,1,1,6,2,2,2,2,1
51,2,3,1,2,1,2,2,3,1,2,1
52,2,2,1,2,1,1,1,3,2,2,1
53,3,2,3,1,1,4,2,4,3,2,1
54,2,1,2,2,1,1,2,2,1,2,1
55,3,3,2,1,1,3,1,1,2,1,2
56,3,1,2,1,1,2,2,3,2,1,1
57,2,2,2,2,2,6,2,4,2,2,1
58,2,3,2,2,1,3,1,3,1,2,1
59,1,1,2,2,2,5,2,1,2,2,1
60,3,3,2,2,2,2,2,1,2,2,2
61,1,2,2,2,1,1,2,4,2,2,1
62,3,2,2,1,2,4,2,2,3,2,1
63,2,3,2,2,1,4,1,1,4,2,1
64,2,2,2,2,2,6,2,1,1,2,1
65,3,2,2,1,1,4,3,3,2,2,1
66,1,3,2,2,1,4,2,2,3,1,2
67,1,3,3,2,1,3,2,3,2,1,2
68,2,3,1,1,2,3,2,1,1,1,2
69,1,2,2,2,1,5,2,3,1,2,1
70,3,2,2,2,2,5,2,3,3,2,1
71,3,2,2,1,1,5,2,2,2,2,1
72,2,1,2,2,1,5,2,3,4,2,1
73,2,3,2,1,1,5,2,3,1,2,2
74,1,2,2,2,3,1,2,3,3,2,1
75,1,2,2,1,1,3,2,4,1,2,1
76,1,1,2,2,2,1,2,4,3,2,1
77,1,3,2,2,3,3,2,3,2,2,1
78,1,1,2,1,1,3,2,4,2,2,1
79,2,2,2,1,1,2,2,3,3,2,2
80,3,2,2,2,1,4,2,2,2,2,1
81,2,1,2,1,1,5,2,3,3,2,2
82,2,2,2,2,2,2,2,1,1,2,1
83,2,3,2,2,1,4,2,3,4,2,1
84,1,2,2,2,3,4,2,1,1,2,1
85,3,3,1,1,1,1,2,3,3,2,2
86,2,1,2,2,1,3,2,3,4,2,1
87,2,3,2,2,1,1,2,1,1,2,1
88,3,3,2,2,3,2,2,3,1,2,2
89,1,3,2,2,1,3,2,1,1,2,1
90,1,1,2,2,3,4,2,2,2,2,1
91,1,1,2,2,3,1,2,3,1,2,1
92,2,3,2,1,1,4,2,2,2,2,2
93,2,1,2,2,2,1,2,3,3,2,1
94,2,2,1,1,1,5,2,1,2,2,2
95,1,2,2,2,1,1,2,2,4,2,1
96,3,2,2,1,2,2,2,3,3,2,1
97,2,1,2,2,1,5,2,2,4,1,2
98,3,3,2,1,2,1,2,1,4,2,2
99,2,2,2,2,1,3,2,2,4,2,1
100,1,3,3,2,1,2,2,3,3,2,1
101,2,2,2,2,1,3,2,3,2,2,1
102,2,1,2,1,1,1,2,2,4,2,2
