Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
-1,3,3,3,2,3,6,3,4,4,2,2
Vote
3,1,3,1,1,2,3,2,3,2,2,1
4,2,2,1,1,3,1,2,4,3,2,1
5,3,2,2,1,1,3,1,2,3,2,2
6,1,1,2,2,2,6,2,3,1,2,1
7,2,1,1,1,1,5,1,4,2,1,1
8,3,3,2,1,3,2,3,2,2,2,2
9,2,2,2,2,3,1,1,2,2,1,1
10,3,1,3,1,1,1,2,3,2,2,1
11,2,2,2,2,2,4,2,2,3,2,1
12,3,3,2,1,3,1,1,3,3,2,2
13,3,1,1,1,1,6,3,4,2,1,1
14,1,3,2,2,2,2,1,2,2,2,1
15,1,2,1,2,3,3,2,2,2,2,1
16,2,2,2,1,3,6,2,3,3,1,2
17,1,2,2,1,1,1,3,1,1,2,1
18,1,3,3,2,2,4,1,2,1,2,1
19,2,2,2,2,1,5,2,2,2,2,1
20,2,2,2,2,1,1,2,3,3,1,1
21,3,3,2,1,2,2,2,3,2,2,2
22,1,2,2,2,1,3,1,4,3,1,1
23,2,2,1,1,1,6,2,1,3,2,1
24,3,2,1,1,1,2,2,1,1,1,1
25,3,2,2,1,1,2,3,2,2,2,2
26,1,3,2,2,2,3,1,4,2,2,1
27,2,1,2,2,1,1,2,2,2,2,1
28,3,2,2,1,1,2,2,3,1,1,2
29,1,3,1,2,1,5,2,2,1,2,1
30,1,2,2,1,1,2,3,3,1,2,2
31,1,1,2,1,1,2,1,3,1,2,2
32,1,3,2,1,1,1,2,4,2,1,2
33,3,2,2,2,2,4,2,2,2,2,1
34,2,2,2,2,3,1,2,3,2,2,1
35,3,1,2,1,1,2,1,2,1,1,2
36,2,1,2,1,3,5,2,1,1,1,1
37,2,3,3,2,1,2,2,1,2,1,1
38,1,3,2,2,2,1,2,2,2,2,1
39,2,2,2,1,1,2,3,3,4,2,2
40,1,3,2,2,1,5,1,3,4,2,1
41,1,1,2,2,3,2,2,1,4,1,1
42,3,2,2,1,3,3,3,3,1,2,2
43,1,3,2,1,1,6,2,4,1,2,2
44,3,1,3,2,1,5,2,4,4,2,1
45,2,3,3,1,2,6,2,2,2,1,1
46,2,2,2,1,2,5,1,1,2,1,1
47,3,2,2,1,1,4,2,3,3,2,2
48,2,3,1,2,2,1,2,3,3,2,1
49,2,2,2,2,2,2,2,3,2,2,1
50,1,2,1,1,1,6,3,4,1,1,1
51,2,1,3,1,1,2,1,4,1,2,1
52,1,3,2,2,1,2,2,3,2,2,1
53,2,3,2,2,2,3,2,3,4,1,1
54,2,3,2,1,2,4,2,4,4,1,2
55,2,2,2,2,1,1,1,4,1,2,1
56,3,2,2,2,2,2,3,3,2,2,1
57,2,1,3,2,2,3,2,2,2,2,1
58,3,1,2,1,1,1,3,3,2,2,2
59,3,3,2,1,1,1,1,3,3,2,2
60,1,3,2,2,2,2,2,3,1,2,1
61,1,2,2,1,3,3,1,2,1,1,2
62,2,2,2,2,3,5,2,1,1,2,1
63,2,1,1,2,1,2,2,1,2,2,1
64,1,2,2,2,2,3,1,3,2,2,1
65,3,3,1,1,2,6,2,3,3,1,1
66,2,1,2,2,1,1,3,3,3,2,1
67,3,3,2,2,1,2,3,3,2,1,1
68,3,2,2,2,2,3,1,2,2,2,1
69,2,2,1,1,2,4,2,2,2,1,1
70,1,3,2,2,1,5,2,1,1,2,1
71,1,3,2,2,2,2,2,3,4,2,1
72,2,2,3,2,1,3,1,3,4,1,1
73,1,2,2,2,1,3,1,4,2,1,1
74,1,3,2,1,1,1,2,1,2,1,1
75,1,2,3,2,1,1,2,3,3,2,1
76,3,3,2,1,1,3,3,3,3,2,2
77,3,2,2,1,1,4,2,3,4,2,2
78,1,1,2,2,1,6,2,3,2,2,1
79,2,3,1,1,2,4,3,2,2,2,1
80,1,3,2,1,1,5,3,4,3,2,2
81,2,3,2,1,2,4,1,1,2,1,1
82,3,1,2,1,1,5,2,3,1,2,2
83,2,2,2,2,2,2,2,3,3,1,1
84,3,2,2,1,2,4,1,4,4,2,2
85,1,3,2,1,1,5,2,4,2,2,2
86,2,2,2,2,1,1,1,3,2,2,1
87,2,1,2,2,1,3,2,3,3,1,1
88,1,2,2,1,1,3,2,3,3,1,2
89,2,2,2,2,1,5,3,3,2,2,1
90,3,2,2,2,1,2,1,1,2,2,1
91,2,1,3,2,2,3,2,4,2,1,1
92,1,2,2,1,2,5,2,4,3,2,2
93,1,3,2,1,3,5,2,3,3,2,2
94,1,1,2,2,1,1,2,3,3,1,1
95,2,2,2,2,2,6,1,3,3,2,1
96,2,3,2,1,3,3,3,3,2,2,2
97,3,2,2,2,1,4,2,2,2,2,1
98,2,3,2,1,2,2,2,2,2,2,2
99,3,1,2,1,2,2,1,3,3,2,2
100,1,1,2,1,3,3,2,2,1,2,2
101,1,3,2,2,1,5,2,4,4,2,1
102,3,3,2,2,1,2,2,4,1,2,1
