Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
-1,3,3,3,2,3,6,3,4,4,2,2
Vote
3,2,3,2,2,1,3,1,2,4,2,1
4,2,3,2,1,1,2,3,2,2,2,1
5,2,2,1,2,1,5,2,3,2,2,1
6,1,2,3,1,2,2,2,3,2,2,1
7,1,2,2,2,1,3,2,1,3,2,1
8,1,2,2,2,1,6,2,3,1,1,1
9,1,1,2,1,1,1,3,3,1,1,1
10,3,2,2,1,1,4,1,1,2,2,1
11,2,2,2,1,2,4,2,3,2,2,2
12,3,3,2,1,2,1,3,1,3,2,1
13,1,3,2,1,1,2,2,4,4,2,2
14,2,3,3,2,1,5,3,2,3,1,1
15,3,2,1,2,2,5,1,3,3,2,1
16,2,2,2,1,1,3,2,1,2,1,1
17,1,2,1,1,1,3,3,1,2,2,1
18,1,3,2,2,1,4,3,3,1,2,1
19,3,2,2,2,2,1,1,3,1,2,1
20,1,2,1,1,2,2,2,2,2,1,1
21,2,2,2,1,1,3,2,4,2,2,2
22,3,1,3,2,1,1,2,2,4,1,1
23,2,1,2,1,1,2,2,2,4,2,1
24,3,1,2,1,2,3,2,4,4,1,1
25,1,3,2,2,1,4,3,2,4,2,1
26,2,3,2,2,1,6,3,3,3,2,2
27,3,2,1,2,2,2,1,4,3,2,1
28,2,2,2,1,1,6,2,2,4,1,1
29,1,1,2,2,1,5,2,2,4,1,1
30,2,1,2,2,1,3,3,3,4,2,1
31,1,2,2,1,1,1,1,3,2,2,1
32,3,2,2,2,2,2,2,4,2,2,1
33,1,2,3,2,1,3,2,1,3,2,1
34,2,2,2,1,1,3,2,2,3,2,1
35,3,1,2,1,1,6,3,3,4,2,1
36,3,3,2,1,2,1,2,3,1,1,1
37,3,2,2,2,2,3,2,4,1,2,2
38,1,3,2,2,1,4,2,1,3,2,1
39,3,2,2,2,1,1,1,2,3,2,1
40,1,2,3,2,2,3,2,3,2,1,1
41,2,1,2,2,3,3,2,2,1,2,1
42,1,1,3,2,2,3,2,3,4,1,1
43,1,2,2,1,2,5,2,3,1,2,1
44,1,1,2,1,2,2,2,1,3,1,1
45,1,2,2,2,2,3,1,1,3,2,1
46,1,3,1,1,1,4,2,3,4,2,1
47,1,3,2,1,1,1,3,3,1,2,1
48,1,2,2,1,3,2,3,4,2,2,1
49,3,3,2,2,3,5,1,4,3,2,2
50,3,2,2,2,2,5,1,2,2,2,1
51,2,2,2,2,1,4,2,3,2,1,2
52,1,1,3,2,1,2,2,3,2,2,1
53,1,2,2,2,1,3,3,3,4,2,1
54,2,2,2,1,2,5,1,3,4,2,2
55,2,3,1,2,2,1,2,1,4,1,1
56,1,2,2,2,2,2,2,1,2,2,1
57,3,2,2,1,1,3,1,2,2,2,1
58,1,1,2,2,1,5,1,4,2,1,1
59,2,2,2,1,2,1,1,2,4,2,1
60,2,1,3,1,1,1,2,2,4,2,1
61,2,1,1,2,2,3,3,2,1,2,1
62,3,2,2,1,2,4,1,2,1,2,1
63,1,2,1,1,2,6,2,2,4,2,1
64,1,1,1,1,3,3,2,3,3,1,1
65,3,2,2,2,1,5,3,2,2,2,1
66,2,3,2,1,2,6,1,3,4,2,2
67,3,1,2,1,3,5,2,3,1,2,1
68,1,2,2,2,1,2,2,4,2,2,1
69,2,3,3,2,1,3,2,4,2,1,2
70,1,2,2,2,2,5,1,4,3,1,1
71,1,2,2,1,2,1,2,2,2,2,1
72,1,1,1,1,1,3,2,2,1,1,1
73,2,2,2,2,1,3,1,3,2,2,1
74,1,2,2,2,1,3,1,1,1,2,1
75,3,3,2,1,1,5,2,2,4,2,1
76,2,2,2,2,1,2,2,3,2,2,1
77,3,2,1,2,1,4,1,3,3,2,1
78,1,3,1,1,2,5,1,1,1,1,1
79,2,2,2,1,1,2,2,4,1,2,1
80,1,2,2,2,1,4,2,2,2,2,1
81,2,3,2,2,2,2,2,2,2,2,1
82,3,2,2,2,3,5,2,3,2,2,1
83,3,2,2,1,2,5,2,1,1,2,1
84,2,2,2,2,1,2,1,1,3,2,1
85,1,2,2,2,1,2,2,1,4,1,1
86,3,1,2,2,2,4,3,1,1,2,1
87,2,2,2,1,1,1,1,3,4,1,1
88,1,2,2,2,1,3,1,1,2,2,1
89,2,1,2,2,2,3,2,1,3,2,1
90,1,1,3,1,3,5,3,1,3,2,1
91,2,3,2,2,1,6,1,2,4,1,1
92,1,3,2,2,1,3,1,3,4,2,1
93,2,2,3,2,2,4,2,3,1,2,1
94,3,2,1,1,2,5,2,3,2,2,1
95,1,1,2,1,1,1,3,4,3,2,1
96,2,2,2,2,1,1,1,2,4,2,1
97,3,1,3,2,2,3,1,3,1,2,1
98,1,3,1,1,2,4,2,3,3,1,1
99,1,2,2,1,1,6,2,3,3,1,1
100,1,2,2,1,1,3,1,3,3,1,1
101,1,2,2,1,2,4,2,1,1,2,1
102,1,2,2,1,3,2,2,3,4,2,1
