Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
-1,3,3,3,2,3,6,3,4,4,2,2
Vote
3,3,2,2,1,2,2,2,3,1,1,2
4,2,1,2,2,1,3,1,3,1,1,1
5,1,2,2,1,2,1,2,2,3,2,2
6,1,3,2,2,1,2,1,2,4,2,1
7,1,2,2,1,1,1,1,3,2,2,2
8,3,1,2,1,2,3,3,1,1,2,1
9,3,2,1,2,1,6,2,3,1,2,1
10,1,3,3,2,1,4,1,3,3,2,1
11,2,1,2,2,2,5,2,2,2,2,1
12,3,3,1,2,1,1,3,3,1,1,1
13,1,3,2,1,2,3,2,1,2,1,1
14,3,1,2,2,1,6,2,1,3,2,1
15,1,2,3,2,1,1,1,3,3,2,1
16,2,1,1,1,2,4,2,3,2,1,1
17,3,2,2,2,3,1,1,2,1,2,1
18,2,1,2,1,1,2,2,3,1,1,2
19,2,3,2,1,2,6,3,2,3,1,2
20,1,2,2,2,1,6,3,1,2,2,1
21,3,2,2,2,3,2,2,3,1,2,1
22,1,2,2,2,3,6,2,2,4,2,1
