Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
-1,3,3,3,2,3,6,3,4,4,2,2
Vote
3,1,1,2,2,1,1,3,3,1,2,1
4,1,2,2,1,1,4,3,3,4,2,1
5,1,2,2,1,1,3,1,3,3,1,2
6,3,2,2,2,1,2,1,3,3,2,1
7,2,1,2,2,2,4,1,2,1,1,2
8,1,3,2,1,1,1,1,2,4,2,1
9,3,2,2,1,1,2,2,4,2,2,1
10,2,3,2,2,2,1,1,4,1,1,2
11,3,2,2,2,2,5,1,2,2,1,2
12,3,3,2,1,2,2,1,2,2,2,2
13,1,2,3,2,1,5,2,1,2,2,1
14,3,2,2,1,2,6,2,2,2,1,2
15,1,2,2,2,2,4,2,3,2,2,1
16,2,3,2,2,1,2,2,4,1,2,1
17,1,1,2,2,2,1,2,2,1,2,1
18,2,2,2,1,2,4,2,3,2,2,2
19,3,2,2,2,3,5,1,4,4,1,2
20,2,3,2,2,2,4,2,3,1,2,1
21,1,3,2,1,1,4,2,4,4,1,2
22,2,1,2,1,3,6,2,2,2,2,2
